利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,10:26:43,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:26:44,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:26:45,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:26:48,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,10:26:48,水曜日,,,学生,工学部,,2,入館ゲート2,許可
2016/06/01,10:26:52,水曜日,,,学生,文学部,,,入館ゲート1,許可
2016/06/01,10:26:52,水曜日,,,学生,工学部,,2,入館ゲート2,許可
2016/06/01,10:26:55,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:26:55,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:26:57,水曜日,,,学生,経済学部,,2,入館ゲート2,許可
2016/06/01,10:26:59,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:27:00,水曜日,,,学生,歯学部,,1,入館ゲート2,許可
2016/06/01,10:27:01,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:27:05,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:27:07,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:27:09,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:27:11,水曜日,,,学生,工学部,,2,入館ゲート2,許可
2016/06/01,10:27:13,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,10:27:24,水曜日,,,大学院生,国際文化,,M2,入館ゲート2,許可
2016/06/01,10:27:28,水曜日,,,学生,文学部,入館可,3,入館ゲート1,許可
2016/06/01,10:27:43,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:27:46,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,10:27:48,水曜日,,,学生,農学部,,3,入館ゲート2,許可
2016/06/01,10:27:50,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:27:51,水曜日,,,学生,理学部,,2,入館ゲート2,許可
2016/06/01,10:27:57,水曜日,,,学生,工学部,,2,入館ゲート2,許可
